timestamp,id,evento,usuarie,puntos,estado,texto ingresado,respuesta,nivel
1655858140,142faa56-b157-46a1-861b-afd109e8aca9,cancelada,oddie,0,-,-,-,Dificil
1655858143,bba7192a-faa7-4627-acb7-d18bc5507dfd,inicio_partida,oddie,0,nueva,-,-,Experto
1655858148,bba7192a-faa7-4627-acb7-d18bc5507dfd,Intento,oddie,10.0,BIEN!,Gustav Jarl,Gustav Jarl,Experto
1655858149,bba7192a-faa7-4627-acb7-d18bc5507dfd,Intento,oddie,9.0,MAL!,Patrick Bamford,Zeus de la Paz,Experto
1655858149,bba7192a-faa7-4627-acb7-d18bc5507dfd,Intento,oddie,19.0,BIEN!,Marc Gual,Marc Gual,Experto
1655858151,bba7192a-faa7-4627-acb7-d18bc5507dfd,Intento,oddie,29.0,BIEN!,Jason,Jason,Experto
1655858152,bba7192a-faa7-4627-acb7-d18bc5507dfd,Intento,oddie,39.0,BIEN!,Tariq Lamptey,Tariq Lamptey,Experto
1655858152,bba7192a-faa7-4627-acb7-d18bc5507dfd,Intento,oddie,49.0,BIEN!,Mark Cullen,Mark Cullen,Experto
1655858153,bba7192a-faa7-4627-acb7-d18bc5507dfd,Intento,oddie,59.0,BIEN!,Pablo Rosario,Pablo Rosario,Experto
1655858154,bba7192a-faa7-4627-acb7-d18bc5507dfd,Intento,oddie,69.0,BIEN!,Maximilian Rossmann,Maximilian Rossmann,Experto
1655858155,bba7192a-faa7-4627-acb7-d18bc5507dfd,Intento,oddie,79.0,BIEN!,Jordan Thompson,Jordan Thompson,Experto
1655858156,bba7192a-faa7-4627-acb7-d18bc5507dfd,Intento,oddie,89.0,BIEN!,Youssouf M'Changama,Youssouf M'Changama,Experto
1655858157,bba7192a-faa7-4627-acb7-d18bc5507dfd,Intento,oddie,99.0,BIEN!,Jiang Tao,Jiang Tao,Experto
1655858158,bba7192a-faa7-4627-acb7-d18bc5507dfd,Intento,oddie,109.0,BIEN!,Javi Alonso,Javi Alonso,Experto
1655858159,bba7192a-faa7-4627-acb7-d18bc5507dfd,Intento,oddie,119.0,BIEN!,Fabian Lustenberger,Fabian Lustenberger,Experto
1655858159,bba7192a-faa7-4627-acb7-d18bc5507dfd,Intento,oddie,129.0,BIEN!,Youssouph Badji,Youssouph Badji,Experto
1655858160,bba7192a-faa7-4627-acb7-d18bc5507dfd,Intento,oddie,139.0,BIEN!,Brice Dja Djédjé,Brice Dja Djédjé,Experto
1655858161,bba7192a-faa7-4627-acb7-d18bc5507dfd,Intento,oddie,138.0,MAL!,Rémi Oudin,Josh Maja,Experto
1655858163,bba7192a-faa7-4627-acb7-d18bc5507dfd,Intento,oddie,137.0,MAL!,Lisandru Tramoni,Kévin Hoggas,Experto
1655858164,bba7192a-faa7-4627-acb7-d18bc5507dfd,Intento,oddie,136.0,MAL!,Jeppe Brinch,Joe Lumley,Experto
1655858167,bba7192a-faa7-4627-acb7-d18bc5507dfd,Intento,oddie,146.0,BIEN!,Ørjan Nyland,Ørjan Nyland,Experto
1655858168,bba7192a-faa7-4627-acb7-d18bc5507dfd,Intento,oddie,146.0,MAL!,Jannik Huth,Ignacio Tapia,Experto
1655858169,bba7192a-faa7-4627-acb7-d18bc5507dfd,Fin,oddie,146.0,Finalizada,-,-,Experto
1655858176,6920c7ae-d38f-4854-bd40-d75564543ec3,inicio_partida,laut,0,nueva,-,-,Normal
1655858177,6920c7ae-d38f-4854-bd40-d75564543ec3,Intento,laut,-1.0,MAL!,Migos,will.i.am,Normal
1655858179,6920c7ae-d38f-4854-bd40-d75564543ec3,Intento,laut,-2.0,MAL!,Migos,Sigrid,Normal
1655858180,6920c7ae-d38f-4854-bd40-d75564543ec3,Intento,laut,-3.0,MAL!,Zay Hilfigerrr,Mustard,Normal
1655858182,6920c7ae-d38f-4854-bd40-d75564543ec3,Intento,laut,-4.0,MAL!,Cher Lloyd,Lana Del Rey,Normal
1655858183,6920c7ae-d38f-4854-bd40-d75564543ec3,Intento,laut,6.0,BIEN!,DJ Snake,DJ Snake,Normal
1655858183,6920c7ae-d38f-4854-bd40-d75564543ec3,Intento,laut,16.0,BIEN!,Train,Train,Normal
1655858185,6920c7ae-d38f-4854-bd40-d75564543ec3,Intento,laut,26.0,BIEN!,David Guetta,David Guetta,Normal
1655858185,6920c7ae-d38f-4854-bd40-d75564543ec3,Intento,laut,36.0,BIEN!,Niall Horan,Niall Horan,Normal
1655858186,6920c7ae-d38f-4854-bd40-d75564543ec3,Intento,laut,46.0,BIEN!,The Weeknd,The Weeknd,Normal
1655858187,6920c7ae-d38f-4854-bd40-d75564543ec3,Intento,laut,46.0,BIEN!,Jonas Blue,Jonas Blue,Normal
1655858188,6920c7ae-d38f-4854-bd40-d75564543ec3,Fin,laut,46.0,Finalizada,-,-,Normal
1655858193,6049d362-7788-4dfe-a55e-b96ae36e9e76,inicio_partida,laut,0,nueva,-,-,Personalizado
1655858194,6049d362-7788-4dfe-a55e-b96ae36e9e76,Intento,laut,-1.0,MAL!,Jay Sean,Rihanna,Personalizado
1655858195,6049d362-7788-4dfe-a55e-b96ae36e9e76,Intento,laut,9.0,BIEN!,Sech,Sech,Personalizado
1655858196,6049d362-7788-4dfe-a55e-b96ae36e9e76,Intento,laut,8.0,MAL!,Bazzi,Rihanna,Personalizado
1655858197,6049d362-7788-4dfe-a55e-b96ae36e9e76,Intento,laut,7.0,MAL!,Jay Sean,Yolanda Be Cool,Personalizado
1655858198,6049d362-7788-4dfe-a55e-b96ae36e9e76,Intento,laut,17.0,BIEN!,Justin Timberlake,Justin Timberlake,Personalizado
1655858200,6049d362-7788-4dfe-a55e-b96ae36e9e76,Intento,laut,27.0,BIEN!,Rob $tone,Rob $tone,Personalizado
1655858201,6049d362-7788-4dfe-a55e-b96ae36e9e76,Intento,laut,37.0,BIEN!,Drake,Drake,Personalizado
1655858203,6049d362-7788-4dfe-a55e-b96ae36e9e76,Intento,laut,47.0,BIEN!,Jessie J,Jessie J,Personalizado
1655858204,6049d362-7788-4dfe-a55e-b96ae36e9e76,Intento,laut,57.0,BIEN!,Vance Joy,Vance Joy,Personalizado
1655858205,6049d362-7788-4dfe-a55e-b96ae36e9e76,Intento,laut,57.0,BIEN!,Timbaland,Timbaland,Personalizado
1655858206,6049d362-7788-4dfe-a55e-b96ae36e9e76,Fin,laut,57.0,Finalizada,-,-,Personalizado
1655858215,9dbbe926-8a0b-4b14-9860-d33625ff9930,inicio_partida,mine,0,nueva,-,-,Experto
1655858218,9dbbe926-8a0b-4b14-9860-d33625ff9930,Intento,mine,10.0,BIEN!,Luca Plogmann,Luca Plogmann,Experto
1655858230,9dbbe926-8a0b-4b14-9860-d33625ff9930,Intento,mine,9.0,TimeOut,No selecciono nada,Max O'Leary,Experto
1655858231,9dbbe926-8a0b-4b14-9860-d33625ff9930,Intento,mine,8.0,MAL!,Antoine Leautey,Ludek Pernica,Experto
1655858232,9dbbe926-8a0b-4b14-9860-d33625ff9930,Intento,mine,18.0,BIEN!,Iván Morales,Iván Morales,Experto
1655858234,9dbbe926-8a0b-4b14-9860-d33625ff9930,Intento,mine,28.0,BIEN!,David Vrzogic,David Vrzogic,Experto
1655858235,9dbbe926-8a0b-4b14-9860-d33625ff9930,Intento,mine,27.0,MAL!,Donovan Wilson,Shogo Taniguchi,Experto
1655858236,9dbbe926-8a0b-4b14-9860-d33625ff9930,Intento,mine,26.0,MAL!,Yahia Fofana,Bradley Halliday,Experto
1655858238,9dbbe926-8a0b-4b14-9860-d33625ff9930,Intento,mine,25.0,MAL!,Marcus Fraser,Mohammed Al Qarni,Experto
1655858239,9dbbe926-8a0b-4b14-9860-d33625ff9930,Intento,mine,35.0,BIEN!,Philipe Sampaio,Philipe Sampaio,Experto
1655858240,9dbbe926-8a0b-4b14-9860-d33625ff9930,Intento,mine,34.0,MAL!,Botond Baráth,Daniil Kulikov,Experto
1655858241,9dbbe926-8a0b-4b14-9860-d33625ff9930,Intento,mine,33.0,MAL!,Philipp Hofmann,Benjamín Gazzolo,Experto
1655858245,9dbbe926-8a0b-4b14-9860-d33625ff9930,Intento,mine,32.0,MAL!,Mauro Bustamante,Kenneth Vermeer,Experto
1655858252,9dbbe926-8a0b-4b14-9860-d33625ff9930,Intento,mine,31.0,TimeOut,Philipp Förster,Philipp Förster,Experto
1655858255,9dbbe926-8a0b-4b14-9860-d33625ff9930,Intento,mine,30.0,MAL!,Hakan Özmert,Miguel Ponce,Experto
1655858257,9dbbe926-8a0b-4b14-9860-d33625ff9930,Intento,mine,29.0,MAL!,Kevin Conboy,Bae Ki Jong,Experto
1655858258,9dbbe926-8a0b-4b14-9860-d33625ff9930,Intento,mine,39.0,BIEN!,Mark McKenzie,Mark McKenzie,Experto
1655858259,9dbbe926-8a0b-4b14-9860-d33625ff9930,Intento,mine,38.0,MAL!,Dylan Pierias,Bayli Spencer-Adams,Experto
1655858261,9dbbe926-8a0b-4b14-9860-d33625ff9930,Intento,mine,37.0,MAL!,Pêpê,George Davies,Experto
1655858267,9dbbe926-8a0b-4b14-9860-d33625ff9930,Intento,mine,36.0,TimeOut,No selecciono nada,Steeven Willems,Experto
1655858268,9dbbe926-8a0b-4b14-9860-d33625ff9930,Intento,mine,36.0,BIEN!,Luke Leahy,Luke Leahy,Experto
1655858270,9dbbe926-8a0b-4b14-9860-d33625ff9930,Fin,mine,36.0,Finalizada,-,-,Experto
1656044538,22d425ec-e85f-441f-b4f0-29963c177426,inicio_partida,ala,0,nueva,-,-,Facil
1656044540,22d425ec-e85f-441f-b4f0-29963c177426,Intento,ala,10.0,BIEN!,Gabriel Xavier,Gabriel Xavier,Facil
1656044541,22d425ec-e85f-441f-b4f0-29963c177426,Intento,ala,9.0,MAL!,Gustav Engvall,Harvey Gilmour,Facil
1656044543,22d425ec-e85f-441f-b4f0-29963c177426,Intento,ala,8.0,MAL!,William Troost-Ekong,Guima,Facil
1656044544,22d425ec-e85f-441f-b4f0-29963c177426,Intento,ala,7.0,MAL!,Jo Sung Joon,Uche Ikpeazu,Facil
1656044545,22d425ec-e85f-441f-b4f0-29963c177426,Intento,ala,6.0,MAL!,Jair,William Eskelinen,Facil
1656044545,22d425ec-e85f-441f-b4f0-29963c177426,Intento,ala,16.0,BIEN!,Serge-Philippe Raux-Yao,Serge-Philippe Raux-Yao,Facil
1656044547,22d425ec-e85f-441f-b4f0-29963c177426,Intento,ala,16.0,MAL!,Ousmane Dembélé,Fer Niño,Facil
1656044548,22d425ec-e85f-441f-b4f0-29963c177426,Fin,ala,16.0,Finalizada,-,-,Facil
1656045738,d35ef22c-74fa-405c-8985-11832667b76d,inicio_partida,kjj,0,nueva,-,-,Experto
1656045786,01030e3b-e678-4b8c-aef8-6f5a62463cb2,inicio_partida,kjj,0,nueva,-,-,Experto
1656045788,01030e3b-e678-4b8c-aef8-6f5a62463cb2,cancelada,kjj,0,-,-,-,Experto
1656045816,8ebf51ec-b030-4548-b38d-9fa5fb583e01,inicio_partida,kjj,0,nueva,-,-,Experto
1656045819,8ebf51ec-b030-4548-b38d-9fa5fb583e01,cancelada,kjj,0,-,-,-,Experto
1656046421,c410e9f3-1a77-48e1-96c0-dec8c561a293,inicio_partida,Hola!,0,nueva,-,-,Experto
1656046430,c410e9f3-1a77-48e1-96c0-dec8c561a293,Intento,Hola!,-1.0,TimeOut,-,Azuma (Japan),Experto
1656046433,c410e9f3-1a77-48e1-96c0-dec8c561a293,cancelada,Hola!,0,-,-,-,Experto
