team,nationality,position,age,potential,name
Gençlerbirligi SK ,Romania,Delantero Centro|Medio Izquierdo,33,Bueno,Bogdan Stancu
Deportivo Toluca ,Argentina,Delantero Centro,33,Bueno,Emmanuel Gigliotti
Crystal Palace ,Ghana,LB|Medio Izquierdo|Medio Centro,27,Bueno,Jeffrey Schlupp
Jeonbuk Hyundai Motors ,Korea Republic,Defensa Central,30,Bueno,Hong Jeong Ho
SD Huesca ,Spain,Defensa Central,29,Bueno,Pulido
Club Tijuana ,Brazil,Delantero Centro,32,Bueno,Camilo
Hamburger SV ,Austria,Delantero Centro,29,Bueno,Lukas Hinterseer
FC Augsburg ,Czech Republic,Portero,27,Bueno,Tomáš Koubek
Gil Vicente FC ,Brazil,Medio Centro Defensivo|Medio Centro,31,Bueno,Soares
TSG 1899 Hoffenheim ,Germany,Portero,32,Bueno,Michael Esser
Shakhtar Donetsk ,Brazil,Medio Centro Defensivo|Medio Centro Ofensivo,29,Bueno,Alan Patrick
Colo-Colo ,Argentina,Delantero Centro,30,Bueno,Nicolás Blandi
DSC Arminia Bielefeld ,Germany,Portero,27,Bueno,Stefan Ortega
Hamburger SV ,Germany,Medio Centro Ofensivo|Extremo Izquierdo,27,Bueno,Sonny Kittel
LASK Linz ,Austria,Defensa Central,28,Bueno,Gernot Trauner
Sporting Kansas City ,Spain,Medio Centro Defensivo|Medio Centro,29,Bueno,Ilie Sánchez
R. Sporting ,Spain,Portero,30,Bueno,Diego Mariño
Fenerbahçe SK ,Turkey,Portero,31,Bueno,Harun Tekin
Udinese ,North Macedonia,Delantero Centro,30,Bueno,Ilja Nestorovski
Jeonbuk Hyundai Motors ,Korea Republic,Medio Centro|Medio Centro Ofensivo,30,Bueno,Kim Bo Kyung
SPAL ,Burkina Faso,Medio Centro Defensivo|Medio Centro,28,Bueno,Bryan Dabo
Alanyaspor ,Greece,LB|Defensa Central,32,Bueno,Georgios Tzavellas
Free Agents ,Australia,Defensa Central,28,Bueno,Trent Sainsbury
Dijon FCO ,France,Medio Centro Defensivo|Medio Centro,30,Bueno,Romain Amalfitano
1. FC Köln ,Germany,Medio Izquierdo|Medio Centro|Medio Centro Ofensivo,30,Bueno,Dominick Drexler
Galatasaray SK ,Norway,Lateral Derecho|LB,28,Bueno,Martin Linnes
1. FSV Mainz 05 ,Germany,Defensa Central,28,Bueno,Stefan Bell
Al Ain FC ,United Arab Emirates,Delantero Centro|Medio Izquierdo,29,Bueno,Caio
Brighton & Hove Albion ,England,LB|Defensa Central,28,Bueno,Dan Burn
Stade Rennais FC ,France,Medio Centro,30,Bueno,Jonas Martin
Al Wehda ,Brazil,Medio Centro Defensivo|Medio Centro,31,Bueno,Anselmo
Free Agents ,Greece,Medio Derecho|Medio Centro Ofensivo|Extremo Derecho,29,Bueno,Ioannis Fetfatzidis
Göztepe SK ,Turkey,Medio Derecho|Medio Izquierdo|Extremo Izquierdo,28,Bueno,Serdar Gürler
Colo-Colo ,Chile,Delantero Centro,39,Bueno,Esteban Paredes
Rangers FC ,England,Lateral Derecho,28,Bueno,James Tavernier
1. FC Köln ,Austria,Medio Derecho|Medio Izquierdo|Medio Centro Ofensivo,27,Bueno,Florian Kainz
Aston Villa ,Spain,Delantero Centro,27,Bueno,Borja Bastón
MKE Ankaragücü ,Portugal,LB,32,Bueno,Tiago Pinto
D.C. United ,United States,Portero,29,Bueno,Bill Hamid
Vitória Guimarães ,France,LB,30,Bueno,Florent Hanin
Sporting CP ,Brazil,Portero,30,Bueno,Renan Ribeiro
Girona FC ,Spain,Medio Izquierdo|Medio Centro|Medio Centro Ofensivo,29,Bueno,Borja García
Trabzonspor ,Brazil,Defensa Central,30,Bueno,Manoel
Galatasaray SK ,Japan,Lateral Derecho|LB,33,Bueno,Yuto Nagatomo
Sassuolo ,Serbia,Medio Centro Ofensivo|Extremo Izquierdo,28,Bueno,Filip Duricic
Aston Villa ,Republic of Ireland,Medio Centro Defensivo|Medio Centro,29,Bueno,Conor Hourihane
Sparta Praha ,Czech Republic,Portero,29,Bueno,Milan Heca
FC Girondins de Bordeaux ,Switzerland,LB|Defensa Central|Medio Izquierdo,28,Bueno,Loris Benito
Cagliari ,Italy,Lateral Derecho|Defensa Central,34,Bueno,Fabio Pisacane
Racing Club ,Argentina,Lateral Derecho,34,Bueno,Iván Pillud
Udinese ,Denmark,Lateral Derecho|Defensa Central|Medio Derecho,29,Bueno,Jens Stryger Larsen
Leeds United ,Poland,Medio Centro,30,Bueno,Mateusz Klich
Stade Brestois 29 ,France,Delantero Centro,31,Bueno,Gaëtan Charbonnier
Standard de Liège ,Belgium,Medio Izquierdo|Extremo Derecho|Extremo Izquierdo,28,Bueno,Maxime Lestienne
West Bromwich Albion ,St Kitts Nevis,Medio Centro Defensivo|Medio Centro,28,Bueno,Romaine Sawyers
Reading ,Brazil,Portero,30,Bueno,Rafael
Cruz Azul ,Argentina,Delantero Centro,31,Bueno,Milton Caraglio
CFR Cluj ,Lithuania,Portero,32,Bueno,Giedrius Arlauskis
Stade Brestois 29 ,France,Carrilero Izquierdo|Medio Centro|Extremo Izquierdo,31,Bueno,Paul Lasne
Lokomotiv Moscow ,Russia,Lateral Derecho|Medio Derecho,33,Bueno,Vladislav Ignatiev
PFC CSKA Moscow ,Russia,Carrilero Izquierdo|Medio Izquierdo|Extremo Izquierdo,29,Bueno,Georgiy Schennikov
Sampdoria ,Italy,Medio Centro Defensivo|Medio Centro,29,Bueno,Andrea Bertolacci
Sampdoria ,Japan,Defensa Central,31,Bueno,Maya Yoshida
RCD Espanyol ,France,Lateral Derecho,29,Bueno,Sébastien Corchia
Philadelphia Union ,United States,Medio Centro Defensivo|Medio Centro,33,Bueno,Alejandro Bedoya
Nottingham Forest ,Mali,Medio Centro Defensivo|Medio Centro,31,Bueno,Samba Sow
Yeni Malatyaspor ,Turkey,Medio Derecho|Medio Izquierdo,28,Bueno,Gökhan Töre
Göztepe SK ,Poland,Delantero Centro,32,Bueno,Kamil Wilczek
Göztepe SK ,Costa Rica,Defensa Central|Medio Centro Defensivo|Medio Centro,32,Bueno,Celso Borges
Fenerbahçe SK ,Germany,Medio Centro Defensivo|Medio Centro,29,Bueno,Tolgay Arslan
Puebla ,Paraguay,Medio Centro Defensivo|Medio Centro,34,Bueno,Osvaldo Martínez
R. Valladolid CF ,Spain,Medio Centro Defensivo|Medio Centro,32,Bueno,Míchel
Getafe CF ,Spain,Defensa Central,32,Bueno,Etxeita
Rosenborg BK ,Norway,Portero,30,Bueno,André Hansen
Athletic Club ,Spain,LB,32,Bueno,Balenziaga
Sivasspor ,Mali,Portero,30,Bueno,Mamadou Samassa
FC København ,Sweden,Portero,30,Bueno,Karl-Johan Johnsson
RCD Mallorca ,France,Delantero Centro|Medio Derecho,29,Bueno,Yannis Salibur
CA Osasuna ,Spain,Defensa Central,31,Bueno,Aridane
Leeds United ,Scotland,Defensa Central,28,Bueno,Liam Cooper
SV Sandhausen ,Germany,Lateral Derecho,30,Bueno,Dennis Diekmeier
AEK Athens ,Portugal,Delantero Centro,28,Bueno,Nélson Oliveira
Perth Glory ,Uruguay,Delantero Centro,32,Bueno,Bruno Fornaroli
Galatasaray SK ,Sweden,Medio Derecho|Medio Izquierdo|Medio Centro Ofensivo,31,Bueno,Jimmy Durmaz
West Bromwich Albion ,England,Medio Centro Defensivo|Medio Centro,30,Bueno,Jake Livermore
Colón de Santa Fe ,Paraguay,Medio Izquierdo|Medio Centro,32,Bueno,Marcelo Estigarribia
Kayserispor ,Portugal,Lateral Derecho|Defensa Central,33,Bueno,Miguel Lopes
Borussia Dortmund ,Germany,LB,32,Bueno,Marcel Schmelzer
FC Nantes ,Algeria,Medio Centro Defensivo|Medio Centro,27,Bueno,Mehdi Abeid
AZ ,Belgium,Defensa Central,30,Bueno,Stijn Wuytens
Al Fayha ,Chile,Medio Centro Ofensivo,34,Bueno,Carlos Villanueva
KAA Gent ,Belgium,Portero,27,Bueno,Thomas Kaminski
Dijon FCO ,Gabon,Lateral Derecho|Defensa Central,32,Bueno,Bruno Ecuélé Manga
Wigan Athletic ,Nigeria,Lateral Derecho|Defensa Central,32,Bueno,Leon Balogun
Alanyaspor ,Spain,Carrilero Derecho|Lateral Derecho|Extremo Derecho,31,Bueno,Juanfran
PFC CSKA Moscow ,Russia,Defensa Central,31,Bueno,Viktor Vasin
Boca Juniors ,Peru,Defensa Central,31,Bueno,Carlos Zambrano
Cardiff City ,England,Defensa Central,29,Bueno,Sean Morrison
Tigres U.A.N.L. ,Mexico,LB|Medio Centro,31,Bueno,Jesús Dueñas
Club Necaxa ,Mexico,Portero,29,Bueno,Hugo González
Cagliari ,Italy,Delantero Centro,30,Bueno,Alberto Paloschi
Sivasspor ,Brazil,Medio Centro Defensivo|Medio Centro,32,Bueno,Claudemir
Club Atlético Lanús ,Argentina,Defensa Central,29,Bueno,Ezequiel Muñoz
Atlético Tucumán ,Argentina,Delantero Centro|Medio Centro Ofensivo,36,Bueno,Matías Alustiza
Genoa ,Serbia,Medio Centro Defensivo|Medio Centro,31,Bueno,Ivan Radovanovic
Shakhtar Donetsk ,Brazil,Medio Centro Ofensivo,31,Bueno,Dentinho
Amiens SC ,DR Congo,Medio Derecho|Medio Centro Ofensivo,29,Bueno,Gaël Kakuta
Leeds United ,England,Lateral Derecho|Defensa Central,28,Bueno,Luke Ayling
Stoke City ,Wales,Defensa Central,31,Bueno,James Chester
West Bromwich Albion ,England,LB|Carrilero Izquierdo|Extremo Izquierdo,30,Bueno,Kieran Gibbs
Göztepe SK ,Turkey,Delantero Centro|Medio Centro Ofensivo,34,Bueno,Deniz Kadah
SD Eibar ,Spain,Portero,31,Bueno,Yoel
Sporting Kansas City ,Scotland,Extremo Derecho,30,Bueno,Johnny Russell
1. FSV Mainz 05 ,Hungary,Delantero Centro,32,Bueno,Ádám Szalai
AFC Bournemouth ,England,Medio Centro,30,Bueno,Dan Gosling
Moreirense FC ,Portugal,Medio Centro Defensivo|Medio Centro,32,Bueno,Fábio Pacheco
SV Werder Bremen ,Switzerland,Lateral Derecho|Medio Derecho,29,Bueno,Michael Lang
FC Basel 1893 ,Netherlands,Delantero Centro|Medio Derecho,31,Bueno,Ricky van Wolfswinkel
KRC Genk ,Belgium,Defensa Central,29,Bueno,Sebastien Dewaest
Göztepe SK ,Portugal,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,32,Bueno,Castro
SV Werder Bremen ,Germany,Defensa Central,32,Bueno,Sebastian Langkamp
Sheffield Wednesday ,Scotland,Medio Centro Defensivo|Medio Centro,30,Bueno,Barry Bannan
FC Basel 1893 ,Switzerland,Medio Centro Defensivo|Medio Centro,31,Bueno,Fabian Frei
SV Werder Bremen ,Germany,Medio Derecho|Medio Izquierdo|Media Punta,33,Bueno,Fin Bartels
FC Basel 1893 ,Switzerland,Medio Derecho|Medio Izquierdo|Medio Centro Ofensivo,31,Bueno,Valentin Stocker
RCD Espanyol ,Spain,Portero,30,Bueno,Oier
TSG 1899 Hoffenheim ,Norway,Defensa Central|Medio Centro Defensivo,30,Bueno,Håvard Nordtveit
Göztepe SK ,Brazil,Defensa Central,32,Bueno,Titi
Shanghai SIPG FC ,Uzbekistan,Medio Centro Defensivo|Medio Centro,32,Bueno,Odil Akhmedov
Malmö FF ,Sweden,Defensa Central,34,Bueno,Rasmus Bengtsson
Toulouse Football Club ,France,Medio Centro Defensivo,31,Bueno,William Vainqueur
FC Augsburg ,Czech Republic,Defensa Central,32,Bueno,Marek Suchy
FC København ,Senegal,Delantero Centro,35,Bueno,Dame N'Doye
Monterrey ,Mexico,Lateral Derecho|LB|Medio Derecho,32,Bueno,Miguel Layún
Club Unión Magdalena S.A ,Colombia,Medio Centro Defensivo|Medio Centro,35,Bueno,Abel Aguilar
West Bromwich Albion ,Poland,Medio Izquierdo,32,Bueno,Kamil Grosicki
Nottingham Forest ,Cameroon,LB|Carrilero Izquierdo|Extremo Izquierdo,32,Bueno,Gaëtan Bong
RCD Mallorca ,Spain,Portero,32,Bueno,Fabricio
Leeds United ,Spain,Portero,33,Bueno,Kiko Casilla
Fenerbahçe SK ,Morocco,Lateral Derecho|LB|Medio Derecho,34,Bueno,Nabil Dirar
Borussia Mönchengladbach ,Germany,Portero,32,Bueno,Tobias Sippel
Seattle Sounders FC ,Sweden,Defensa Central|Medio Centro Defensivo|Medio Centro,33,Bueno,Gustav Svensson
Rosenborg BK ,Norway,Defensa Central,34,Bueno,Tore Reginiussen
Impact Montréal ,Spain,Delantero Centro|Medio Centro Ofensivo|Media Punta,29,Bueno,Bojan
Football Club de Metz ,Algeria,Portero,32,Bueno,Alexandre Oukidja
SPAL ,Italy,Medio Centro Defensivo|Medio Centro,34,Bueno,Simone Missiroli
Colorado Rapids ,Sierra Leone,Delantero Centro,35,Bueno,Kei Kamara
Alanyaspor ,Brazil,Lateral Derecho,33,Bueno,Baiano
Colo-Colo ,Chile,Medio Centro|Medio Centro Ofensivo,34,Bueno,Matías Fernández
Club Nacional de Football ,Uruguay,Delantero Centro|Medio Derecho|Medio Izquierdo,35,Bueno,Gonzalo Castro
Estudiantes de La Plata ,Argentina,Portero,36,Bueno,Mariano Andújar
Watford ,Jamaica,Lateral Derecho|Defensa Central,33,Bueno,Adrian Mariappa
AFC Bournemouth ,England,Medio Centro,33,Bueno,Andrew Surman
PAOK ,Spain,Lateral Derecho|LB|Defensa Central,33,Bueno,José Crespo
Huddersfield Town ,Denmark,Portero,31,Bueno,Jonas Lössl
Cardiff City ,Ivory Coast,Defensa Central,35,Bueno,Souleymane Bamba
Royal Antwerp FC ,Belgium,Medio Izquierdo|Medio Centro Ofensivo,32,Bueno,Kevin Mirallas
Colón de Santa Fe ,Argentina,Medio Centro Defensivo,33,Bueno,Matías Fritzler
Club Atlético Peñarol ,Uruguay,Medio Izquierdo|Medio Centro|Medio Centro Ofensivo,34,Bueno,Cristian Rodríguez
Torino ,Italy,Lateral Derecho|Medio Derecho,32,Bueno,Lorenzo De Silvestri
AZ ,Netherlands,Defensa Central,35,Bueno,Ron Vlaar
Denizlispor ,Colombia,Delantero Centro,35,Bueno,Hugo Rodallega
Hellas Verona ,Italy,Defensa Central,33,Bueno,Salvatore Bocchetti
D.C. United ,Argentina,Medio Centro Ofensivo,35,Bueno,Federico Higuaín
Club Olimpia ,Argentina,Defensa Central|Medio Centro Defensivo|Medio Centro,35,Bueno,Nicolás Domingo
Rosario Central ,Argentina,Delantero Centro,33,Bueno,Marco Ruben
Vélez Sarsfield ,Argentina,Defensa Central|Medio Centro Defensivo|Medio Centro,34,Bueno,Fernando Gago
Free Agents ,Romania,Delantero Centro,33,Bueno,Claudiu Ke?erü
Kaizer Chiefs ,South Africa,Portero,33,Bueno,Itumeleng Khune
RSC Anderlecht ,France,Medio Centro|Medio Centro Ofensivo|Extremo Izquierdo,33,Bueno,Samir Nasri
Wisla Kraków ,Poland,Medio Derecho,34,Bueno,Jakub Blaszczykowski
Royal Antwerp FC ,Israel,Medio Centro|Medio Centro Ofensivo,34,Bueno,Lior Refaelov
LAFC ,England,Delantero Centro,35,Bueno,Bradley Wright-Phillips
AIK ,Sweden,Medio Centro Defensivo|Medio Centro,35,Bueno,Sebastian Larsson
RC Celta ,Spain,Portero,33,Bueno,Sergio
SC Braga ,Portugal,Defensa Central,34,Bueno,Rolando
Real Salt Lake ,Italy,Delantero Centro,33,Bueno,Giuseppe Rossi
Al Ittihad ,Morocco,Medio Centro Defensivo|Medio Centro,35,Bueno,Karim El Ahmadi
Inter ,Italy,Portero,34,Bueno,Daniele Padelli
Royal Antwerp FC ,Belgium,Medio Centro Defensivo,34,Bueno,Faris Haroun
Western Sydney Wanderers ,Switzerland,Medio Centro Defensivo|Medio Centro,33,Bueno,Pirmin Schwegler
1. FC Union Berlin ,Germany,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,34,Bueno,Christian Gentner
FC Utrecht ,Netherlands,Defensa Central,34,Bueno,Willem Janssen
PSV ,Netherlands,Medio Centro|Medio Centro Ofensivo,34,Bueno,Ibrahim Afellay
Crystal Palace ,England,Defensa Central,33,Bueno,Scott Dann
Monarcas Morelia ,Chile,Medio Centro Ofensivo,36,Bueno,Jorge Valdivia
Defensa y Justicia ,Argentina,Medio Centro|Medio Centro Ofensivo,33,Bueno,Neri Cardozo
Helsingborgs IF ,Sweden,Defensa Central,35,Bueno,Andreas Granqvist
Rangers FC ,Northern Ireland,Medio Centro Defensivo|Medio Centro,35,Bueno,Steven Davis
Antalyaspor ,Germany,Delantero Centro|Medio Centro Ofensivo|Extremo Derecho,35,Bueno,Lukas Podolski
VfB Stuttgart ,Germany,Delantero Centro,35,Bueno,Mario Gómez
Sassuolo ,Italy,Medio Centro Defensivo,35,Bueno,Francesco Magnanelli
Athletic Club ,Spain,Medio Centro,27,Bueno,Vesga
Besiktas JK ,Turkey,Lateral Derecho,35,Bueno,Gökhan Gönül
West Ham United ,Argentina,Lateral Derecho,35,Bueno,Pablo Zabaleta
Nagoya Grampus ,Brazil,Delantero Centro,33,Bueno,Jô
River Plate ,Argentina,Defensa Central|Medio Centro Defensivo,38,Bueno,Leonardo Ponzio
Tottenham Hotspur ,Netherlands,Portero,36,Bueno,Michel Vorm
Leicester City ,Jamaica,Defensa Central,36,Bueno,Wes Morgan
AFC Bournemouth ,England,Lateral Derecho|Defensa Central,35,Bueno,Simon Francis
Wolfsberger AC ,Austria,Medio Centro|Medio Centro Ofensivo,34,Bueno,Michael Liendl
Fenerbahçe SK ,Turkey,LB,30,Bueno,Hasan Ali Kaldirim
Medipol Basaksehir FK ,Turkey,Defensa Central|Medio Centro Defensivo,34,Bueno,Mehmet Topal
AS Monaco Football Club SA ,Switzerland,Portero,36,Bueno,Diego Benaglio
Club Atlético de San Luis ,Spain,Defensa Central,38,Bueno,Mario Álvarez
Newell's Old Boys ,Argentina,Delantero Centro|Medio Izquierdo|Extremo Izquierdo,39,Bueno,Maximiliano Rodríguez
Girona FC ,Spain,Delantero Centro,34,Bueno,Jonatan Soriano
Sheffield United ,England,Defensa Central,37,Bueno,Phil Jagielka
Club Olimpia ,Togo,Delantero Centro,36,Bueno,Emmanuel Adebayor
Rangers FC ,Scotland,Portero,38,Bueno,Allan McGregor
San Lorenzo de Almagro ,Argentina,Defensa Central,38,Bueno,Fabricio Coloccini
Club Olimpia ,Paraguay,Delantero Centro,38,Bueno,Roque Santa Cruz
Boavista FC ,Portugal,Defensa Central,39,Bueno,Ricardo Costa
Neuchâtel Xamax FCS ,Switzerland,Delantero Centro|Media Punta,37,Bueno,Raphaël Nuzzolo
Independiente del Valle ,Ecuador,Portero,30,Bueno,Jorge Pinos
Independiente del Valle ,Argentina,Defensa Central,28,Bueno,Richard Schunke
Club Atlético Peñarol ,Uruguay,Defensa Central,26,Bueno,Rodrigo Abascal
Free Agents ,Ecuador,Delantero Centro,31,Bueno,Erick Lardero
Free Agents ,Ecuador,Medio Centro Defensivo|Medio Derecho|Medio Centro,32,Bueno,Víctor Sabanter
Free Agents ,Ecuador,Delantero Centro,35,Bueno,Anthony Alfárnez
PAOK ,Brazil,Medio Centro Defensivo|Medio Centro,23,Bueno,Douglas Augusto
PAOK ,Serbia,Portero,31,Bueno,Zivko Zivkovic
Arsenal de Sarandí ,Argentina,Medio Centro Defensivo|Medio Centro,27,Bueno,Ezequiel Piovi
SK Slavia Praha ,Czech Republic,Lateral Derecho|Medio Derecho|Medio Izquierdo,27,Bueno,Tomáš Holeš
Granada CF ,Spain,LB,24,Bueno,Carlos Neva
Olympiacos CFP ,Greece,Medio Derecho|Medio Izquierdo|Medio Centro Ofensivo,26,Bueno,Giorgios Masouras
SC Braga ,Brazil,Lateral Derecho|Defensa Central,24,Bueno,Vítor Tormena
Real Sociedad ,Spain,Medio Derecho|Medio Centro|Medio Centro Ofensivo,25,Bueno,Luca Sangalli
Viktoria Plzen ,Czech Republic,Medio Centro|Medio Centro Ofensivo,25,Bueno,Aleš Cermák
Dynamo Kyiv ,Ukraine,Defensa Central,28,Bueno,Artem Shabanov
Dinamo Zagreb ,Croatia,Defensa Central,26,Bueno,Dino Peric
CA Osasuna ,Spain,Delantero Centro,33,Bueno,Enric Gallego
Al Shabab ,Senegal,Delantero Centro,33,Bueno,Makhete Diop
KAA Gent ,Ukraine,Defensa Central,29,Bueno,Igor Plastun
Sparta Praha ,Czech Republic,Medio Centro|Medio Centro Ofensivo,26,Bueno,Michal Trávník
SC Braga ,Portugal,Portero,25,Bueno,Tiago Sá
Rangers FC ,Croatia,LB,27,Bueno,Borna Barišic
SD Huesca ,Spain,Medio Derecho,24,Bueno,Dani Raba
Club Atlético Lanús ,Argentina,Medio Centro|Medio Centro Ofensivo,23,Bueno,Lucas Vera
UD Almería ,Spain,Carrilero Derecho|Lateral Derecho|Medio Derecho|Extremo Derecho,24,Bueno,Francis
Desportivo das Aves ,Brazil,Defensa Central|Medio Centro Defensivo|Medio Centro,26,Bueno,Cláudio Falcão
Marítimo ,Brazil,Lateral Derecho,30,Bueno,Bebeto
Sparta Praha ,Czech Republic,Lateral Derecho|Medio Centro Defensivo|Medio Centro,23,Bueno,Michal Sácek
MKE Ankaragücü ,Georgia,Delantero Centro|Medio Izquierdo,25,Bueno,Saba Lobjanidze
FC Red Bull Salzburg ,Japan,Delantero Centro|Medio Derecho|Medio Centro Ofensivo,24,Bueno,Masaya Okugawa
Norwich City ,Germany,Defensa Central,27,Bueno,Christoph Zimmermann
Club Atlético Talleres ,Colombia,Defensa Central,30,Bueno,Rafael Pérez
Portimonense SC ,Portugal,Medio Centro Defensivo|Medio Centro,26,Bueno,Pedro Sá
1. FC Köln ,Ghana,Delantero Centro|Medio Derecho,27,Bueno,Kingsley Schindler
Hebei China Fortune FC ,Brazil,Delantero Centro,26,Bueno,Marcão
SC Heerenveen ,Nigeria,Extremo Derecho|Extremo Izquierdo,22,Bueno,Chidera Ejuke
RC Strasbourg Alsace ,South Africa,Delantero Centro,24,Bueno,Lebo Mothiba
Club Olimpia ,Paraguay,Defensa Central,28,Bueno,José Leguizamón
Marítimo ,Iran,Portero,27,Bueno,Amir Abedzadeh
Racing Club ,Argentina,Delantero Centro|Medio Centro Ofensivo,25,Bueno,Nicolás Reniero
Club Brugge KV ,Croatia,Defensa Central,26,Bueno,Matej Mitrovic
Club León ,Mexico,Medio Centro Defensivo,24,Bueno,José Rodríguez
Stade Rennais FC ,France,Medio Izquierdo|Medio Centro,24,Bueno,James Léa Siliki
AS Monaco Football Club SA ,France,LB|Medio Izquierdo,23,Bueno,Fodé Ballo-Touré
Vitória Setúbal ,Portugal,Defensa Central,25,Bueno,Artur Jorge
Atlético Mineiro ,Brazil,Defensa Central|Medio Centro Defensivo,24,Bueno,Nildo Reisão
Centro Sportivo Alagoano ,Brazil,Lateral Derecho,28,Bueno,Douglas Armeira
LOSC Lille ,Mozambique,LB,26,Bueno,Reinildo
Al Shabab ,Algeria,Defensa Central|Medio Centro Defensivo,30,Bueno,Djamel Eddine Benlamri
Club Atlético Talleres ,Argentina,Medio Derecho|Medio Izquierdo|Extremo Izquierdo,26,Bueno,Jonathan Menéndez
Club Atlético Peñarol ,Uruguay,Medio Izquierdo|Media Punta,25,Bueno,David Terans
Besiktas JK ,Portugal,LB,25,Bueno,Pedro Rebocho
Birmingham City ,Denmark,LB|Defensa Central,25,Bueno,Kristian Pedersen
Al Faisaly ,Brazil,Medio Izquierdo|Extremo Derecho|Extremo Izquierdo,25,Bueno,Guilherme
Hokkaido Consadole Sapporo ,Thailand,Medio Centro Ofensivo|Media Punta|Extremo Izquierdo,26,Bueno,Chanathip Songkrasin
Amiens SC ,Mali,LB|Defensa Central,30,Bueno,Bakaye Dibassy
Club Athletico Paranaense ,Brazil,LB,20,Bueno,Vágner Corraldo
Boavista FC ,Brazil,Defensa Central,28,Bueno,Neris
FC Girondins de Bordeaux ,Serbia,Defensa Central,24,Bueno,Vukašin Jovanovic
KAA Gent ,Iran,LB,26,Bueno,Milad Mohammadi
Kawasaki Frontale ,Japan,Delantero Centro,32,Bueno,Yu Kobayashi
DSC Arminia Bielefeld ,Germany,Medio Centro Ofensivo|Extremo Izquierdo,24,Bueno,Marcel Hartel
Rosario Central ,Uruguay,Medio Derecho|Medio Izquierdo,28,Bueno,Diego Zabala
Medipol Basaksehir FK ,Cape Verde,Defensa Central,25,Bueno,Carlos Ponck
Club Brugge KV ,Uruguay,LB|Medio Izquierdo,25,Bueno,Federico Ricca
Sporting Charleroi ,Japan,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,29,Bueno,Ryota Morioka
La Equidad ,Colombia,Delantero Centro,30,Bueno,Carlos Peralta
Sporting CP ,Slovenia,Delantero Centro,26,Bueno,Andraz Šporar
CD Leganés ,Spain,Lateral Derecho,25,Bueno,Marc Navarro
Club Atlético Talleres ,Argentina,Medio Derecho|Medio Centro|Medio Centro Ofensivo,24,Bueno,Tomás Pochettino
Stade Rennais FC ,France,Defensa Central|Medio Centro Defensivo,23,Bueno,Jérémy Gélin
1. FSV Mainz 05 ,Germany,Defensa Central,26,Bueno,Alexander Hack
Sparta Praha ,Czech Republic,LB|Medio Centro Defensivo,28,Bueno,Martin Frydek
San Lorenzo de Almagro ,Argentina,LB|Carrilero Izquierdo|Medio Izquierdo|Extremo Izquierdo,27,Bueno,Bruno Pittón
Angers SCO ,Chad,Delantero Centro|Medio Izquierdo,27,Bueno,Casimir Ninga
Dynamo Kyiv ,Uruguay,Medio Izquierdo,28,Bueno,Carlos de Pena
Chapecoense ,Brazil,Lateral Derecho,24,Bueno,Benjamin Meseira
Internacional ,Brazil,Delantero Centro|Medio Izquierdo,24,Bueno,Gus Outomouro
Santos ,Brazil,Medio Centro Ofensivo,28,Bueno,Alam Basteirinho
Vasco da Gama ,Brazil,Medio Izquierdo|Extremo Izquierdo,24,Bueno,Thio Rolim
São Paulo ,Brazil,Extremo Derecho,32,Bueno,Claudiosa Paes
Bahia ,Brazil,Medio Centro Defensivo|Medio Derecho|Medio Centro,20,Bueno,Marcos Paneira
Club Athletico Paranaense ,Brazil,Medio Centro Defensivo,20,Bueno,Luis Couprins
Santos ,Brazil,Medio Centro Defensivo,28,Bueno,Sandelas Júnior
Bahia ,Brazil,Delantero Centro|Medio Centro Ofensivo,24,Bueno,Pietrson Mendes
Vasco da Gama ,Brazil,Medio Derecho,28,Bueno,Brenito Duarte
Santos ,Brazil,Defensa Central,20,Bueno,Miltisco Paulino
Botafogo ,Brazil,Defensa Central,28,Bueno,Paolito Serra
Cruzeiro ,Brazil,Defensa Central,28,Bueno,Édundo Oliveira
Flamengo ,Brazil,Medio Centro Ofensivo,36,Bueno,Deiverson Kaio
Vasco da Gama ,Brazil,Medio Centro,28,Bueno,Durval Dutría
Avaí ,Brazil,Lateral Derecho,24,Bueno,Mauro Cildinho
Chapecoense ,Brazil,LB|Medio Izquierdo|Medio Centro Ofensivo,24,Bueno,Oswaldito Cuba
Chapecoense ,Brazil,Portero,24,Bueno,Nivo Serpinho
Vasco da Gama ,Brazil,Defensa Central,20,Bueno,Teixe Gaúcho
Atlético Mineiro ,Brazil,Delantero Centro,24,Bueno,Evandro Rochedo
Internacional ,Brazil,Delantero Centro|Medio Centro Ofensivo|Media Punta,20,Bueno,Gustavo Lobateiro
Grêmio ,Brazil,Medio Centro Defensivo,24,Bueno,Juliano Mascarinhas
Flamengo ,Brazil,LB,32,Bueno,Douglas Carvalheira
Vasco da Gama ,Brazil,LB|Medio Centro,24,Bueno,Ramón da Almeyda
Atlético Mineiro ,Brazil,Defensa Central|Medio Centro Defensivo,28,Bueno,Ailton Valpaços
Fluminense ,Brazil,Lateral Derecho|Defensa Central,28,Bueno,Vinicius Cardenha
Bahia ,Brazil,Lateral Derecho,20,Bueno,Juli Piresinho
