Year;Volcanic Explosivity Index;Volcano Type;Flag Tsunami;Flag Earthquake;Name and country
1663;5;Estratovolcan;F;F;Hokkaido-Japan (Japan)
1693;??;Estratovolcan;F;T;Italy (Italy)
1755;4;Volcan subglacial;F;F;Iceland-S (Iceland)
1843;2;Estratovolcan;F;F;Java (Indonesia)
1872;3;Volcan complejo;F;F;Italy (Italy)
1878;2;Volcan en escudo;T;T;Aleutian Is (United States)
1913;3;Escudo piroclastico;F;F;Vanuatu-SW Pacific (Vanuatu)
1949;2;Estratovolcan;F;F;Colombia (Colombia)
1957;2;Caldera;F;F;Kyushu-Japan (Japan)
1963;3;Estratovolcan;F;F;Costa Rica (Costa Rica)
1971;3;Estratovolcan;F;F;Guatemala (Guatemala)
1992;3;Cono de ceniza;F;F;Nicaragua (Nicaragua)
1997;??;Estratovolcan;F;F;Honshu-Japan (Japan)
1997;??;Estratovolcan;F;F;Honshu-Japan (Japan)
1997;??;Caldera;F;F;Kyushu-Japan (Japan)
2004;1;Estratovolcan;F;F;Lesser Sunda Is (Indonesia)
2013;??;Estratovolcan;F;F;Lesser Sunda Is (Indonesia)
2013;??;Estratovolcan;F;F;Kyushu-Japan (Japan)
2015;??;Estratovolcan;F;F;Sangihe Is-Indonesia (Indonesia)
-1460;6;Caldera;F;F;New Zealand (New Zealand)
1000;7;Estratovolcan;F;F;China-E (North Korea)
1727;4;Estratovolcan;F;F;Iceland-SE (Iceland)
1826;3;Estratovolcan;F;F;Java (Indonesia)
1868;2;Volcan en escudo;T;T;Hawaiian Is (United States)
1869;2;Estratovolcan;F;F;Lesser Sunda Is (Indonesia)
1895;2;Caldera;F;F;New Britain-SW Pac (Papua New Guinea)
1900;2;Estratovolcan;F;F;Honshu-Japan (Japan)
1900;??;Cono de piedra plumez;F;F;Africa-NE (Ethiopia)
1902;2;Estratovolcan;F;F;Java (Indonesia)
1907;2;Estratovolcan;F;F;Lesser Sunda Is (Indonesia)
1913;2;Estratovolcan;T;T;Sangihe Is-Indonesia (Indonesia)
1930;3;Volcan complejo;F;F;Honshu-Japan (Japan)
1932;??;Estratovolcan;F;F;Java (Indonesia)
1938;1;Volcan en escudo;T;F;Africa-C (Congo, DRC)
1938;2;Estratovolcan;F;F;Luzon-Philippines (Philippines)
1954;??;Estratovolcan;F;F;Mindanao-Philippines (Philippines)
1958;2;Estratovolcan;F;F;Sulawesi-Indonesia (Indonesia)
1961;??;Estratovolcan;F;F;Honshu-Japan (Japan)
1964;2;Estratovolcan;F;F;Lesser Sunda Is (Indonesia)
1992;4;Estratovolcan;F;F;Alaska-SW (United States)
1995;??;Estratovolcan;F;F;Mindanao-Philippines (Philippines)
1998;??;Estratovolcan;F;F;Java (Indonesia)
2000;3;Estratovolcan;F;F;Costa Rica (Costa Rica)
2010;1;Volcan complejo;F;F;Guatemala (Guatemala)
2010;??;Estratovolcan;F;F;Java (Indonesia)
2011;??;Estratovolcan;F;F;Sulawesi-Indonesia (Indonesia)
2013;??;Estratovolcan;F;F;Java (Indonesia)
2016;??;Estratovolcan;F;F;Lesser Sunda Is (Indonesia)
2018;??;Volcan en escudo;F;F;Hawaiian Is (United States)
-4050;6;Caldera;F;F;Nicaragua (Nicaragua)
-2420;5;Volcan complejo;F;F;Italy (Italy)
79;5;Volcan complejo;T;T;Italy (Italy)
1375;5;Cono de toba;F;F;Mexico (Mexico)
1376;3;Estratovolcan;F;F;Java (Indonesia)
1538;3;Caldera;F;F;Italy (Italy)
1664;2;Volcan complejo;F;F;Kyushu-Japan (Japan)
1698;3;Estratovolcan;F;F;Ecuador (Ecuador)
1775;3;Estratovolcan;F;F;Halmahera-Indonesia (Indonesia)
1800;2;Estratovolcan;F;F;Luzon-Philippines (Philippines)
1822;4;Estratovolcan;F;F;Hokkaido-Japan (Japan)
1822;5;Estratovolcan;F;F;Java (Indonesia)
1840;2;Estratovolcan;T;F;Halmahera-Indonesia (Indonesia)
1874;3;Estratovolcan;F;F;Izu Is-Japan (Japan)
1911;??;Volcan de lodo;T;F;Trinidad (Trinidad)
1911;3;Estratovolcan;F;F;Java (Indonesia)
1916;3;Estratovolcan;T;F;Italy (Italy)
1928;2;Volcan complejo;F;F;Java (Indonesia)
1933;2;Estratovolcan;T;F;Luzon-Philippines (Philippines)
1944;2;Estratovolcan;F;F;Hokkaido-Japan (Japan)
1953;??;Estratovolcan;F;F;New Zealand (New Zealand)
1966;4;Estratovolcan;F;F;Java (Indonesia)
1966;4;Estratovolcan;F;F;Africa-E (Tanzania)
1969;??;Caldera;F;F;Honshu-Japan (Japan)
1971;3;Estratovolcan;F;F;Chile-S (Chile)
1973;2;Volcan complejo;F;F;Lesser Sunda Is (Indonesia)
1979;2;Estratovolcan;F;F;New Guinea-NE of (Papua New Guinea)
1981;2;Estratovolcan;F;F;Italy (Italy)
1982;5;Cono de toba;F;T;Mexico (Mexico)
1993;2;Volcan complejo;F;F;Colombia (Colombia)
2002;3;Estratovolcan;F;T;Italy (Italy)
2008;??;Estratovolcan;F;F;Colombia (Colombia)
2011;4;Estratovolcan;F;F;Chile-C (Chile)
2013;??;Domo de lava;F;F;New Zealand (New Zealand)
2014;3;Volcan complejo;F;F;Honshu-Japan (Japan)
2014;??;Estratovolcan;F;F;Halmahera-Indonesia (Indonesia)
2018;??;Estratovolcan;F;F;Luzon-Philippines (Philippines)
2018;4;Estratovolcan;F;F;New Guinea-NE of (Papua New Guinea)
-4360;6;Caldera;F;F;Kermadec Is (New Zealand)
-4000;6;Caldera;F;F;New Britain-SW Pac (Papua New Guinea)
-50;6;Escudo piroclastico;F;F;Nicaragua (Nicaragua)
46;3;Volcan en escudo;T;F;Greece (Greece)
500;??;campo volcanico;F;F;Arabia-S (Yemen)
787;3;Volcan complejo;F;F;Italy (Italy)
1536;3;Estratovolcan;F;F;Italy (Italy)
1690;??;Volcan complejo;T;F;Italy (Italy)
1726;1;Estratovolcan;F;F;Iceland-NE (Iceland)
1730;3;Estratovolcan;F;F;Java (Indonesia)
1742;3;Estratovolcan;F;F;Ecuador (Ecuador)
1749;3;Estratovolcan;T;T;Luzon-Philippines (Philippines)
1848;2;Estratovolcan;F;F;Java (Indonesia)
1861;3;Estratovolcan;F;T;Africa-NE (Eritrea)
1892;2;Caldera;T;F;Tonga-SW Pacific (Tonga)
1897;3;Estratovolcan;F;F;Luzon-Philippines (Philippines)
1902;??;Estratovolcan;T;F;W Indies (Martinique)
1912;3;Volcan en escudo;F;F;Africa-C (Congo, DRC)
1919;1;Estratovolcan;F;F;Mexico (Mexico)
1919;??;Volcan submarino;T;F;Sangihe Is-Indonesia (Indonesia)
1923;2;Volcanes submarinos;T;T;SE Asia (Vietnam)
1929;2;Estratovolcan;F;F;Italy (Italy)
1939;2;Estratovolcan;F;F;Izu Is-Japan (Japan)
1940;2;Estratovolcan;F;F;Sangihe Is-Indonesia (Indonesia)
1947;2;Volcan complejo;F;F;Honshu-Japan (Japan)
1957;2;Estratovolcan;F;F;Izu Is-Japan (Japan)
1979;2;Caldera;F;F;Kyushu-Japan (Japan)
1980;??;Estratovolcan;F;F;US-Oregon (United States)
1989;??;Volcan en escudo;F;F;Kyushu-Japan (Japan)
1994;1;Caldera;F;F;Kyushu-Japan (Japan)
2001;3;Estratovolcan;F;F;Italy (Italy)
2011;2;Estratovolcan;F;F;Luzon-Philippines (Philippines)
2014;??;Estratovolcan;F;F;Java (Indonesia)
-1370;6;Caldera;F;F;New Britain-SW Pac (Papua New Guinea)
710;6;Caldera;F;F;New Britain-SW Pac (Papua New Guinea)
1853;3;Estratovolcan;F;F;Luzon-Philippines (Philippines)
1872;4;Estratovolcan;F;F;Java (Indonesia)
1878;3;Estratovolcan;T;F;Vanuatu-SW Pacific (Vanuatu)
1905;2;Volcan en escudo;T;F;Samoa-SW Pacific (Samoa)
1918;4;Volcan subglacial;F;F;Iceland-S (Iceland)
1944;2;Estratovolcan;T;F;Italy (Italy)
1952;2;Volcan submarino;T;F;Izu Is-Japan (Japan)
1955;4;Cono piroclastico;F;F;Chile-C (Chile)
1961;3;Estratovolcan;F;F;Java (Indonesia)
1975;3;Estratovolcan;F;F;Costa Rica (Costa Rica)
1980;3;Estratovolcan;F;F;Iceland-S (Iceland)
1981;2;Estratovolcan;F;F;Lesser Sunda Is (Indonesia)
1988;??;Volcan complejo;F;F;Honshu-Japan (Japan)
1991;2;Volcan en escudo;F;F;Indian O-W (Comoros)
1994;3;Estratovolcan;F;F;Java (Indonesia)
1995;1;Estratovolcan;F;F;Honshu-Japan (Japan)
2002;??;Estratovolcan;T;F;Italy (Italy)
2003;3;Estratovolcan;T;F;W Indies (Montserrat)
2010;3;Estratovolcan;F;F;Ecuador (Ecuador)
2018;2;Estratovolcan;F;F;Guatemala (Guatemala)
-1050;6;Estratovolcan;F;F;Luzon-Philippines (Philippines)
764;4;Estratovolcan;F;F;Kyushu-Japan (Japan)
766;3;Estratovolcan;T;T;Kyushu-Japan (Japan)
1760;4;Estratovolcan;F;F;Halmahera-Indonesia (Indonesia)
1766;4;Estratovolcan;F;F;Iceland-S (Iceland)
1790;4;Volcan en escudo;F;F;Hawaiian Is (United States)
1803;2;Volcan complejo;F;F;Honshu-Japan (Japan)
1813;2;Volcan complejo;T;F;Italy (Italy)
1825;3;Estratovolcan;F;F;Aleutian Is (United States)
1869;2;Estratovolcan;F;F;Java (Indonesia)
1883;??;Caldera;T;F;Indonesia (Indonesia)
1900;2;Volcan complejo;F;F;Honshu-Japan (Japan)
1914;??;Estratovolcan;F;F;New Zealand (New Zealand)
1928;3;Estratovolcan;T;F;Lesser Sunda Is (Indonesia)
1952;2;Volcan submarino;T;F;Izu Is-Japan (Japan)
1953;0;Volcan complejo;F;F;Lesser Sunda Is (Indonesia)
1963;2;Estratovolcan;F;F;Chile-C (Chile)
1976;2;Estratovolcan;F;F;Java (Indonesia)
1977;3;Estratovolcan;F;F;Hokkaido-Japan (Japan)
1980;5;Estratovolcan;T;T;US-Washington (United States)
1981;??;Estratovolcan;F;F;Kamchatka (Russia)
1985;3;Estratovolcan;F;F;Colombia (Colombia)
1990;3;Estratovolcan;F;F;Kamchatka (Russia)
1990;3;Estratovolcan;F;F;Guatemala (Guatemala)
1995;3;Estratovolcan;F;F;Vanuatu-SW Pacific (Vanuatu)
2006;1;Estratovolcan;F;F;Java (Indonesia)
2010;2;Estratovolcan;F;F;Iceland-S (Iceland)
2010;3;Estratovolcan;F;F;Ecuador (Ecuador)
2011;??;Volcan subglacial;F;F;Iceland-S (Iceland)
2015;??;Estratovolcan;F;F;Sumatra (Indonesia)
2018;2;Escudo piroclastico;F;T;Vanuatu-SW Pacific (Vanuatu)
2019;4;Estratovolcan;F;F;New Guinea-NE of (Papua New Guinea)
-3550;6;Estratovolcan;F;F;Luzon-Philippines (Philippines)
1050;??;Volcan en escudo;T;F;Greece (Greece)
1177;3;Volcan subglacial;F;F;Iceland-S (Iceland)
1595;4;Estratovolcan;F;F;Colombia (Colombia)
1598;3;Caldera;F;F;Banda Sea (Pacific Ocean)
1638;4;Estratovolcan;F;F;Java (Indonesia)
1659;3;Estratovolcan;F;T;El Salvador (El Salvador)
1684;2;Caldera;F;F;Iceland-NE (Iceland)
1693;4;Estratovolcan;T;F;Iceland-S (Iceland)
1694;3;Caldera;F;F;Banda Sea (Pacific Ocean)
1794;3;Volcan complejo;F;F;Italy (Italy)
1800;1;Respiradero de fisura;F;F;Azores (Portugal)
1816;2;Caldera;F;F;Kyushu-Japan (Japan)
1817;2;Estratovolcan;F;F;Java (Indonesia)
1825;??;Estratovolcan;F;F;Bougainville-SW Paci (Papua New Guinea)
1846;1;Estratovolcan;F;F;Hokkaido-Japan (Japan)
1875;??;Estratovolcan;F;F;Luzon-Philippines (Philippines)
1889;2;Volcan submarino;T;T;Sangihe Is-Indonesia (Indonesia)
1912;6;Caldera;F;F;Alaska Peninsula (United States)
1953;??;Volcan complejo;F;F;Honshu-Japan (Japan)
1961;??;Estratovolcan;F;F;Hokkaido-Japan (Japan)
1964;1;Volcan complejo;F;F;Java (Indonesia)
1965;0;Volcan submarino;T;F;W Indies (Netherlands)
1971;2;Estratovolcan;T;F;Santa Cruz Is-SW Pac (Solomon Is.)
1976;2;Estratovolcan;F;F;Java (Indonesia)
1976;2;Estratovolcan;F;F;Sangihe Is-Indonesia (Indonesia)
1978;3;Estratovolcan;F;F;Guatemala (Guatemala)
1983;2;Estratovolcan;F;F;Kamchatka (Russia)
1986;3;Estratovolcan;F;F;Izu Is-Japan (Japan)
1992;2;Estratovolcan;F;F;Sangihe Is-Indonesia (Indonesia)
2002;3;Estratovolcan;F;F;Sangihe Is-Indonesia (Indonesia)
2013;3;Estratovolcan;F;F;Lesser Sunda Is (Indonesia)
2013;2;Estratovolcan;F;F;Sumatra (Indonesia)
2017;2;Estratovolcan;F;F;Sumatra (Indonesia)
2018;1;Caldera;T;F;Indonesia (Indonesia)
2019;??;Estratovolcan;F;F;New Britain-SW Pac (Papua New Guinea)
450;6;Caldera;F;F;El Salvador (El Salvador)
1565;3;Volcan complejo;F;T;Guatemala (Guatemala)
1716;3;Volcan en escudo;F;F;Kyushu-Japan (Japan)
1721;1;Volcan complejo;F;F;Honshu-Japan (Japan)
1762;2;Estratovolcan;F;F;Kamchatka (Russia)
1784;??;Estratovolcan;F;F;Peru (Peru)
1786;2;Volcan complejo;F;F;Java (Indonesia)
1800;??;Volcan complejo;F;F;Java (Indonesia)
1800;0;Volcan en escudo;F;F;Hawaiian Is (United States)
1839;2;Volcan submarino;T;F;Chile-Is (Chile)
1861;2;Caldera;F;F;Iceland-NE (Iceland)
1878;3;Escudo piroclastico;T;T;New Britain-SW Pac (Papua New Guinea)
1901;3;Estratovolcan;F;F;Java (Indonesia)
1911;3;Estratovolcan;T;T;Luzon-Philippines (Philippines)
1917;3;Estratovolcan;F;F;Africa-E (Tanzania)
1921;??;Estratovolcan;F;F;Honshu-Japan (Japan)
1933;??;Volcan complejo;F;F;Honshu-Japan (Japan)
1941;2;Estratovolcan;F;F;Java (Indonesia)
1944;2;Estratovolcan;F;F;Hokkaido-Japan (Japan)
1947;4;Estratovolcan;F;F;Iceland-S (Iceland)
1976;??;Estratovolcan;F;F;Honshu-Japan (Japan)
1979;2;Estratovolcan;F;F;Italy (Italy)
1982;4;Estratovolcan;F;F;Java (Indonesia)
1988;3;Estratovolcan;F;F;Costa Rica (Costa Rica)
2005;??;Volcan en escudo;F;F;Indian O-W (Comoros)
2010;??;Estratovolcan;F;F;Java (Indonesia)
200;??;campo volcanico;F;F;Arabia-S (Yemen)
640;2;campo volcanico;F;F;Arabia-W (Saudi Arabia)
1169;??;Estratovolcan;T;F;Italy (Italy)
1600;6;Estratovolcan;F;T;Peru (Peru)
1629;2;Caldera;F;F;Iceland-NE (Iceland)
1717;3;Estratovolcan;F;F;Iceland-NE (Iceland)
1778;4;Estratovolcan;F;F;Kuril Is (Russia)
1789;2;Estratovolcan;F;F;Izu Is-Japan (Japan)
1805;2;Volcan complejo;F;F;Italy (Italy)
1829;2;Volcan complejo;F;F;Java (Indonesia)
1837;??;Volcan complejo;T;T;Sumatra (Indonesia)
1853;2;Volcan submarino;T;F;Taiwan-E of (Taiwan)
1854;2;Caldera;F;F;Kyushu-Japan (Japan)
1860;2;Estratovolcan;F;F;Java (Indonesia)
1871;2;Estratovolcan;T;T;Mindanao-Philippines (Philippines)
1875;5;Estratovolcan;F;F;Iceland-NE (Iceland)
1886;4;Estratovolcan;F;F;Ecuador (Ecuador)
1886;2;Domo de lava;F;F;New Zealand (New Zealand)
1893;4;Estratovolcan;F;F;Chile-S (Chile)
1951;3;Estratovolcan;F;F;Mindanao-Philippines (Philippines)
1953;2;Volcan submarino;T;F;Izu Is-Japan (Japan)
1957;??;Volcan complejo;F;F;Kyushu-Japan (Japan)
1981;3;Estratovolcan;F;F;Java (Indonesia)
1993;??;Estratovolcan;F;F;Banda Sea (Indonesia)
1993;1;Estratovolcan;F;F;Luzon-Philippines (Philippines)
1996;2;Estratovolcan;F;F;Philippines-C (Philippines)
2013;??;Estratovolcan;F;F;Luzon-Philippines (Philippines)
2017;??;Estratovolcan;F;F;Italy (Italy)
2017;??;Volcan complejo;F;F;Java (Indonesia)
-141;??;Estratovolcan;F;F;Italy (Italy)
1262;3;Volcan subglacial;F;F;Iceland-S (Iceland)
1300;4;Estratovolcan;F;F;Iceland-S (Iceland)
1331;2;Caldera;F;F;Kyushu-Japan (Japan)
1714;??;Volcan complejo;T;F;Italy (Italy)
1907;??;Volcan en escudo;T;F;Samoa-SW Pacific (Samoa)
1911;2;Volcan complejo;F;F;Honshu-Japan (Japan)
1913;4;Estratovolcan;F;F;Mexico (Mexico)
1944;3;Estratovolcan;F;F;Aleutian Is (United States)
1952;2;Volcan submarino;T;F;Izu Is-Japan (Japan)
1960;3;Estratovolcan;T;T;Chile-C (Chile)
1971;2;Estratovolcan;F;F;Canary Is (Spain)
1972;1;Estratovolcan;T;F;New Guinea-NE of (Papua New Guinea)
1979;3;Estratovolcan;F;F;W Indies (St. Vincent & the Grenadines)
1983;3;Estratovolcan;F;T;Izu Is-Japan (Japan)
1984;3;Estratovolcan;F;F;Italy (Italy)
1990;2;Caldera;F;F;Kyushu-Japan (Japan)
1991;2;Estratovolcan;F;F;Italy (Italy)
1994;3;Estratovolcan;F;F;Java (Indonesia)
2007;??;Estratovolcan;F;F;Java (Indonesia)
2017;2;Estratovolcan;F;F;Guatemala (Guatemala)
2017;??;Volcan en escudo;F;F;Vanuatu-SW Pacific (Vanuatu)
2018;3;Volcan en escudo;F;F;Vanuatu-SW Pacific (Vanuatu)
2019;2;Estratovolcan;T;F;Italy (Italy)
-1550;??;Estratovolcan;F;F;Alaska-SW (United States)
-250;6;Estratovolcan;F;F;Kermadec Is (New Zealand)
1640;5;Estratovolcan;T;T;Hokkaido-Japan (Japan)
1785;3;Estratovolcan;F;F;Izu Is-Japan (Japan)
1812;3;Estratovolcan;F;F;Sangihe Is-Indonesia (Indonesia)
1853;0;Volcan en escudo;F;F;Tonga-SW Pacific (Tonga)
1892;2;Estratovolcan;F;F;Sumatra (Indonesia)
1917;3;Estratovolcan;F;F;Chile-S (Chile)
1938;1;Volcan complejo;F;F;Honshu-Japan (Japan)
1941;2;Volcan complejo;F;F;Honshu-Japan (Japan)
1943;4;Cono de ceniza;F;F;Mexico (Mexico)
1944;2;Volcan complejo;F;F;Java (Indonesia)
1953;1;Estratovolcan;F;F;Izu Is-Japan (Japan)
1973;??;Estratovolcan;F;F;Chile-S (Chile)
1990;2;Caldera;F;F;Kyushu-Japan (Japan)
1991;6;Estratovolcan;F;T;Luzon-Philippines (Philippines)
1992;1;Estratovolcan;F;F;Luzon-Philippines (Philippines)
1995;2;Estratovolcan;F;F;Cape Verde Is (Cape Verde)
1996;3;Estratovolcan;F;F;New Guinea-NE of (Papua New Guinea)
2000;??;Volcan en escudo;F;F;Hawaiian Is (United States)
2005;3;Estratovolcan;F;F;El Salvador (El Salvador)
2006;2;Estratovolcan;T;F;W Indies (Montserrat)
2015;??;Estratovolcan;F;F;Chile-S (Chile)
2017;??;Caldera;F;F;Italy (Italy)
2018;??;Estratovolcan;F;F;New Guinea-NE of (Papua New Guinea)
2018;??;Estratovolcan;F;F;Java (Indonesia)
-4350;7;Caldera;F;F;Ryukyu Is (Japan)
934;4;Volcan subglacial;F;F;Iceland-S (Iceland)
1250;??;Estratovolcan;F;F;Africa-NE (Ethiopia)
1389;3;Estratovolcan;F;F;Iceland-S (Iceland)
1471;5;Estratovolcan;F;F;Kyushu-Japan (Japan)
1500;4;Volcan subglacial;F;F;Iceland-S (Iceland)
1590;3;Estratovolcan;F;F;Mexico (Mexico)
1596;2;Volcan complejo;F;F;Honshu-Japan (Japan)
1606;2;Estratovolcan;T;F;Izu Is-Japan (Japan)
1712;2;Estratovolcan;F;F;Iceland-NE (Iceland)
1716;2;Estratovolcan;F;F;Iceland-NE (Iceland)
1737;2;Volcan complejo;F;F;Italy (Italy)
1779;4;Estratovolcan;F;F;Kyushu-Japan (Japan)
1783;4;Volcan complejo;F;F;Honshu-Japan (Japan)
1822;3;Estratovolcan;F;F;Java (Indonesia)
1840;3;Estratovolcan;F;F;Santa Cruz Is-SW Pac (Solomon Is.)
1845;2;Estratovolcan;T;T;Sulawesi-Indonesia (Indonesia)
1847;2;Estratovolcan;F;F;Cape Verde Is (Cape Verde)
1856;3;Estratovolcan;T;T;Sangihe Is-Indonesia (Indonesia)
1861;4;Estratovolcan;F;F;Halmahera-Indonesia (Indonesia)
1903;1;Domo de lava;F;F;New Zealand (New Zealand)
1951;??;Volcan complejo;F;F;Honshu-Japan (Japan)
1954;2;Estratovolcan;F;F;New Guinea-NE of (Papua New Guinea)
1958;??;Estratovolcan;F;F;Hokkaido-Japan (Japan)
1962;2;Estratovolcan;F;F;Halmahera-Indonesia (Indonesia)
1969;2;Estratovolcan;F;F;Java (Indonesia)
1973;3;Estratovolcan;F;F;Lesser Sunda Is (Indonesia)
1974;3;Estratovolcan;F;F;Kyushu-Japan (Japan)
1978;??;Estratovolcan;F;F;Java (Indonesia)
1983;4;Estratovolcan;F;F;Sulawesi-Indonesia (Indonesia)
1987;2;Estratovolcan;F;F;Italy (Italy)
1994;3;Estratovolcan;F;F;Lesser Sunda Is (Indonesia)
1996;3;Caldera;F;F;Iceland-NE (Iceland)
1997;3;Estratovolcan;F;F;W Indies (Montserrat)
1999;3;Estratovolcan;F;F;Ecuador (Ecuador)
2001;2;Estratovolcan;F;F;Java (Indonesia)
2002;1;Estratovolcan;F;F;Africa-C (Congo, DRC)
2011;??;Estratovolcan;F;F;Sangihe Is-Indonesia (Indonesia)
2012;??;Volcan en escudo;F;F;Hawaiian Is (United States)
2012;??;Volcan en escudo;F;F;Hawaiian Is (United States)
1631;??;Volcan en escudo;F;T;Africa-NE (Ethiopia)
1659;4;Estratovolcan;T;F;Banda Sea (Pacific Ocean)
1664;??;Volcan complejo;T;F;Ryukyu Is (Japan)
1707;??;Volcan en escudo;T;F;Greece (Greece)
1729;2;Caldera;F;F;Iceland-NE (Iceland)
1780;4;Estratovolcan;F;F;Kyushu-Japan (Japan)
1835;??;Caldera;F;T;Banda Sea (Pacific Ocean)
1843;??;Estratovolcan;T;F;W Indies (Guadeloupe)
1854;5;Estratovolcan;F;F;Kamchatka (Russia)
1856;??;Estratovolcan;T;F;Aleutian Is (United States)
1860;2;Estratovolcan;F;F;Guatemala (Guatemala)
1868;??;Estratovolcan;T;T;Italy (Italy)
1872;4;Estratovolcan;F;F;Java (Indonesia)
1875;0;Estratovolcan;F;F;Java (Indonesia)
1878;??;Estratovolcan;T;T;Vanuatu-SW Pacific (Vanuatu)
1909;2;Estratovolcan;F;T;Africa-W (Cameroon)
1914;3;Caldera;F;F;New Britain-SW Pac (Papua New Guinea)
1917;1;Domo de lava;F;F;New Zealand (New Zealand)
1930;2;Caldera;T;F;Indonesia (Indonesia)
1930;3;Estratovolcan;T;F;Italy (Italy)
1934;??;Estratovolcan;F;F;US-Oregon (United States)
1946;4;Estratovolcan;T;F;Kuril Is (Russia)
1954;??;Estratovolcan;T;F;Italy (Italy)
1955;3;Estratovolcan;F;F;Kyushu-Japan (Japan)
1962;??;Estratovolcan;F;F;Java (Indonesia)
1990;4;Estratovolcan;F;F;Java (Indonesia)
1993;1;Volcan complejo;F;F;Kyushu-Japan (Japan)
2010;3;Estratovolcan;F;F;Sangihe Is-Indonesia (Indonesia)
2014;??;Volcan en escudo;F;F;Hawaiian Is (United States)
2016;??;Estratovolcan;F;F;Sumatra (Indonesia)
2019;4;Estratovolcan;F;F;New Guinea-NE of (Papua New Guinea)
2019;??;Estratovolcan;F;F;Sumatra (Indonesia)
