Year;Volcanic Explosivity Index;Volcano Type;Flag Tsunami;Flag Earthquake;Name and country
1988;3;Estratovolcan;F;F;Chile-C (Chile)
1991;1;Volcan complejo;F;F;Kyushu-Japan (Japan)
1993;1;Estratovolcan;F;F;Ecuador (Ecuador)
2008;3;Estratovolcan;F;F;Ecuador (Ecuador)
2011;3;Estratovolcan;F;F;Africa-NE (Eritrea)
2013;??;Estratovolcan;F;F;Peru (Peru)
2014;??;Estratovolcan;F;F;Sumatra (Indonesia)
2015;??;Estratovolcan;F;F;Sumatra (Indonesia)
416;??;Caldera;T;F;Indonesia (Indonesia)
1311;3;Estratovolcan;F;F;Java (Indonesia)
1410;3;Estratovolcan;F;F;Honshu-Japan (Japan)
1672;2;Estratovolcan;F;F;Azores (Portugal)
1780;??;Estratovolcan;T;F;Kyushu-Japan (Japan)
1800;2;Estratovolcan;F;F;Africa-E (Tanzania)
1803;2;Volcan complejo;F;F;Honshu-Japan (Japan)
1894;3;Escudo piroclastico;F;F;Vanuatu-SW Pacific (Vanuatu)
1910;2;Estratovolcan;F;F;Hokkaido-Japan (Japan)
1911;2;Volcan complejo;F;F;Honshu-Japan (Japan)
1917;3;Estratovolcan;F;T;El Salvador (El Salvador)
1923;??;Estratovolcan;F;F;Java (Indonesia)
1923;2;Volcan en escudo;F;F;Kyushu-Japan (Japan)
1929;4;Estratovolcan;F;F;Hokkaido-Japan (Japan)
1929;3;Estratovolcan;F;F;Guatemala (Guatemala)
1939;1;Volcan submarino;T;F;W Indies (Netherlands)
1951;3;Estratovolcan;F;F;Java (Indonesia)
1966;4;Estratovolcan;F;F;Sangihe Is-Indonesia (Indonesia)
1971;2;Estratovolcan;F;F;Chile-C (Chile)
1974;2;Domo de lava;F;F;Honshu-Japan (Japan)
1977;0;Volcan en escudo;F;F;Indian O-W (Comoros)
1978;2;Estratovolcan;F;F;Luzon-Philippines (Philippines)
1982;5;Cono de toba;F;F;Mexico (Mexico)
1986;??;Volcan complejo;F;F;Honshu-Japan (Japan)
2001;2;Estratovolcan;F;F;Italy (Italy)
2018;1;Volcan en escudo;F;F;Hawaiian Is (United States)
-1645;6;Caldera;F;F;Alaska Peninsula (United States)
1636;3;Estratovolcan;F;F;Iceland-S (Iceland)
1669;3;Estratovolcan;F;F;Italy (Italy)
1698;3;Volcan complejo;T;F;Italy (Italy)
1706;2;Estratovolcan;T;F;Canary Is (Spain)
1707;4;Estratovolcan;F;T;Honshu-Japan (Japan)
1826;2;Volcan complejo;F;F;Java (Indonesia)
1832;2;Estratovolcan;F;F;Italy (Italy)
1835;5;Estratovolcan;F;F;Nicaragua (Nicaragua)
1860;??;Caldera;F;F;Iceland-NE (Iceland)
1871;2;Estratovolcan;F;F;Halmahera-Indonesia (Indonesia)
1872;4;Estratovolcan;F;F;Kuril Is (Russia)
1899;4;Estratovolcan;F;F;Colombia (Colombia)
1905;2;Volcan complejo;F;F;Italy (Italy)
1924;2;Volcan en escudo;F;F;Hawaiian Is (United States)
1931;3;Volcan complejo;F;F;Honshu-Japan (Japan)
1947;2;Estratovolcan;F;F;Luzon-Philippines (Philippines)
1957;2;Estratovolcan;F;T;Aleutian Is (United States)
1963;2;Caldera;F;F;Lesser Sunda Is (Indonesia)
1967;3;Estratovolcan;F;F;Africa-E (Tanzania)
1969;3;Estratovolcan;F;F;Lesser Sunda Is (Indonesia)
1988;3;Estratovolcan;F;F;Java (Indonesia)
1990;2;Caldera;F;F;Kyushu-Japan (Japan)
1994;??;Estratovolcan;F;T;Colombia (Colombia)
1999;4;Estratovolcan;F;F;Kamchatka (Russia)
1999;3;Estratovolcan;F;F;Ecuador (Ecuador)
2019;2;Estratovolcan;F;F;New Zealand (New Zealand)
920;4;Volcan subglacial;F;F;Iceland-S (Iceland)
1104;5;Estratovolcan;F;F;Iceland-S (Iceland)
1151;1;Filas de crateres;F;F;Iceland-SW (Iceland)
1206;2;Estratovolcan;F;F;Iceland-S (Iceland)
1329;3;Estratovolcan;T;T;Italy (Italy)
1485;2;Caldera;F;F;Kyushu-Japan (Japan)
1550;3;Volcan complejo;F;F;Halmahera-Indonesia (Indonesia)
1576;3;Estratovolcan;F;F;Mexico (Mexico)
1580;4;Volcan subglacial;F;F;Iceland-S (Iceland)
1598;2;Volcan complejo;F;F;Honshu-Japan (Japan)
1730;2;Respiradero de fisura;F;F;Canary Is (Spain)
1772;3;Estratovolcan;F;F;Java (Indonesia)
1781;4;Estratovolcan;T;F;Kyushu-Japan (Japan)
1826;2;Caldera;F;F;Kyushu-Japan (Japan)
1840;0;Volcan en escudo;T;F;Hawaiian Is (United States)
1840;3;Estratovolcan;F;F;Solomon Is-SW Pacifi (Solomon Is.)
1850;2;Escudo piroclastico;F;F;New Britain-SW Pac (Papua New Guinea)
1858;??;Estratovolcan;F;F;Honshu-Japan (Japan)
1883;2;Volcan en escudo;F;F;Indian O-W (Comoros)
1887;3;Estratovolcan;F;F;Luzon-Philippines (Philippines)
1890;2;Estratovolcan;F;F;Halmahera-Indonesia (Indonesia)
1902;4;Estratovolcan;T;F;W Indies (Martinique)
1902;6;Estratovolcan;F;F;Guatemala (Guatemala)
1936;3;Volcan complejo;F;F;Honshu-Japan (Japan)
1937;2;Estratovolcan;F;F;Chile-C (Chile)
1943;3;Volcan en escudo;F;F;Galapagos (Ecuador)
1951;4;Estratovolcan;F;F;New Guinea (Papua New Guinea)
1970;??;Caldera;F;F;Italy (Italy)
1981;3;Estratovolcan;F;F;Java (Indonesia)
1983;1;Volcan complejo;T;F;Lesser Sunda Is (Indonesia)
1985;1;Estratovolcan;F;F;Italy (Italy)
1990;3;Estratovolcan;F;F;Peru (Peru)
1990;??;Estratovolcan;F;F;Africa-C (Congo, DRC)
1997;3;Estratovolcan;F;F;Java (Indonesia)
1999;3;Estratovolcan;T;F;W Indies (Montserrat)
2000;2;Estratovolcan;F;F;Java (Indonesia)
1593;5;Estratovolcan;F;F;Java (Indonesia)
1609;??;Cono piroclastico;F;F;China-S (China)
1692;4;Estratovolcan;F;F;Banda Sea (Pacific Ocean)
1718;2;Estratovolcan;F;F;Azores (Portugal)
1846;??;Caldera;F;F;New Zealand (New Zealand)
1866;2;Volcan en escudo;F;F;Greece (Greece)
1877;0;Volcan en escudo;T;T;Hawaiian Is (United States)
1883;3;Cono de lava;F;F;Bougainville-SW Paci (Papua New Guinea)
1886;4;Volcan en escudo;F;F;Tonga-SW Pacific (Tonga)
1896;2;Volcan en escudo;F;F;Kyushu-Japan (Japan)
1902;4;Estratovolcan;T;F;W Indies (Martinique)
1914;??;Volcan en escudo;F;F;Vanuatu-SW Pacific (Vanuatu)
1923;1;Estratovolcan;F;F;Java (Indonesia)
1928;2;Volcan en escudo;F;F;Greece (Greece)
1947;??;Estratovolcan;F;F;Honshu-Japan (Japan)
1963;5;Estratovolcan;T;F;Lesser Sunda Is (Indonesia)
1963;2;Estratovolcan;F;F;Java (Indonesia)
1965;4;Estratovolcan;T;F;Luzon-Philippines (Philippines)
1973;3;Volcan submarino;F;F;Iceland-S (Iceland)
1974;3;Estratovolcan;F;F;Sangihe Is-Indonesia (Indonesia)
1975;0;Volcan en escudo;T;T;Hawaiian Is (United States)
1982;5;Cono de toba;F;F;Mexico (Mexico)
1986;3;Maar;F;F;Africa-W (Cameroon)
1992;3;Estratovolcan;F;F;Java (Indonesia)
1994;3;Estratovolcan;F;F;Vanuatu-SW Pacific (Vanuatu)
1998;??;Estratovolcan;F;F;Nicaragua (Nicaragua)
2004;2;Estratovolcan;F;F;Java (Indonesia)
2007;??;Estratovolcan;F;F;Colombia (Colombia)
2008;??;Caldera;F;F;Chile-S (Chile)
2008;3;Estratovolcan;T;F;Aleutian Is (United States)
2017;??;Estratovolcan;F;F;Java (Indonesia)
-1610;7;Volcan en escudo;T;T;Greece (Greece)
-150;??;Volcan complejo;F;F;Admiralty Is-SW Paci (Papua New Guinea)
-100;6;Volcan en escudo;F;F;Aleutian Is (United States)
1341;3;Estratovolcan;F;F;Iceland-S (Iceland)
1430;??;Caldera;F;F;Vanuatu-SW Pacific (Vanuatu)
1510;4;Estratovolcan;F;F;Iceland-S (Iceland)
1580;6;Escudo piroclastico;F;F;Bougainville-SW Paci (Papua New Guinea)
1698;3;Estratovolcan;F;F;Java (Indonesia)
1716;4;Estratovolcan;T;T;Luzon-Philippines (Philippines)
1717;3;Estratovolcan;F;F;Guatemala (Guatemala)
1721;5;Volcan subglacial;F;F;Iceland-S (Iceland)
1819;??;Estratovolcan;T;F;Mariana Is-C Pacific (United States)
1845;3;Estratovolcan;F;F;Colombia (Colombia)
1895;2;Volcan en escudo;F;F;Kyushu-Japan (Japan)
1901;??;Estratovolcan;T;T;Vanuatu-SW Pacific (Vanuatu)
1907;0;Volcan submarino;T;T;Tonga-SW Pacific (Tonga)
1928;??;Caldera;T;F;Indonesia (Indonesia)
1940;2;Estratovolcan;F;F;Africa-E (Tanzania)
1946;2;Estratovolcan;F;F;Java (Indonesia)
1953;3;Estratovolcan;F;F;Java (Indonesia)
1954;??;Estratovolcan;F;F;Honshu-Japan (Japan)
1961;2;Volcan complejo;F;F;Honshu-Japan (Japan)
1962;3;Estratovolcan;F;F;Hokkaido-Japan (Japan)
1963;3;Estratovolcan;F;T;Lesser Sunda Is (Indonesia)
1969;2;Volcan compuesto;T;F;Luzon-N of (Philippines)
1997;1;Estratovolcan;F;F;Sangihe Is-Indonesia (Indonesia)
2000;3;Estratovolcan;F;F;Java (Indonesia)
2009;??;Volcan en escudo;F;F;Hawaiian Is (United States)
2011;??;Estratovolcan;F;F;Java (Indonesia)
-1900;6;Estratovolcan;F;F;Alaska Peninsula (United States)
1477;6;Estratovolcan;F;F;Iceland-NE (Iceland)
1597;3;Estratovolcan;F;F;Java (Indonesia)
1673;5;Estratovolcan;T;F;Halmahera-Indonesia (Indonesia)
1754;4;Estratovolcan;T;T;Luzon-Philippines (Philippines)
1768;4;Estratovolcan;F;F;Ecuador (Ecuador)
1792;2;Volcan complejo;T;T;Kyushu-Japan (Japan)
1814;4;Estratovolcan;F;F;Luzon-Philippines (Philippines)
1815;7;Estratovolcan;T;F;Lesser Sunda Is (Indonesia)
1818;4;Estratovolcan;F;F;Mexico (Mexico)
1854;3;Estratovolcan;T;F;Kuril Is (Russia)
1863;??;Estratovolcan;T;T;Vanuatu-SW Pacific (Vanuatu)
1872;4;Estratovolcan;F;F;Java (Indonesia)
1884;??;Caldera;T;F;Indonesia (Indonesia)
1888;3;Estratovolcan;T;F;New Guinea-NE of (Papua New Guinea)
1888;4;Estratovolcan;F;F;Honshu-Japan (Japan)
1913;2;Estratovolcan;F;F;Java (Indonesia)
1916;4;Estratovolcan;F;F;Ecuador (Ecuador)
1920;3;Estratovolcan;F;F;Java (Indonesia)
1946;2;Estratovolcan;F;F;Java (Indonesia)
1948;2;Volcan complejo;F;F;Lesser Sunda Is (Indonesia)
1950;3;Estratovolcan;F;F;Mindanao-Philippines (Philippines)
1950;2;Volcan complejo;F;F;Honshu-Japan (Japan)
1951;??;Estratovolcan;T;T;Nicaragua (Nicaragua)
1956;5;Estratovolcan;T;F;Kamchatka (Russia)
1958;2;Caldera;T;F;Vanuatu-SW Pacific (Vanuatu)
1967;3;Estratovolcan;F;F;Java (Indonesia)
1974;3;Estratovolcan;F;F;Kyushu-Japan (Japan)
1979;1;Volcan complejo;F;F;Java (Indonesia)
1984;3;Estratovolcan;F;F;Luzon-Philippines (Philippines)
1988;3;Caldera;F;F;Banda Sea (Pacific Ocean)
1993;1;Caldera;F;F;Indonesia (Indonesia)
1996;2;Estratovolcan;T;F;Kamchatka (Russia)
1997;??;Estratovolcan;T;F;W Indies (Montserrat)
2006;2;Estratovolcan;F;F;Luzon-Philippines (Philippines)
2007;4;Estratovolcan;F;F;New Guinea-NE of (Papua New Guinea)
2007;??;Estratovolcan;F;F;Red Sea (Yemen)
2011;??;Volcan en escudo;F;F;Kyushu-Japan (Japan)
2012;??;Volcan en escudo;F;F;Kamchatka (Russia)
2018;1;Volcan en escudo;T;T;Hawaiian Is (United States)
2020;??;Estratovolcan;T;T;Java (Indonesia)
-197;3;Volcan en escudo;T;T;Greece (Greece)
60;6;Estratovolcan;F;F;Alaska-E (United States)
1631;5;Volcan complejo;T;T;Italy (Italy)
1682;3;Volcan complejo;F;F;Italy (Italy)
1757;0;Respiradero de fisura;F;T;Azores (Portugal)
1812;4;Estratovolcan;F;F;W Indies (St. Vincent & the Grenadines)
1827;2;Estratovolcan;F;F;Kamchatka (Russia)
1846;2;Estratovolcan;F;F;Java (Indonesia)
1856;4;Estratovolcan;F;F;Hokkaido-Japan (Japan)
1883;4;Domo de lava;T;F;Alaska-SW (United States)
1914;4;Estratovolcan;T;T;Kyushu-Japan (Japan)
1919;3;Estratovolcan;T;F;Italy (Italy)
1927;1;Estratovolcan;F;F;Iceland-SE (Iceland)
1944;2;Volcan complejo;F;F;Italy (Italy)
1949;3;Estratovolcan;F;F;Mindanao-Philippines (Philippines)
1953;2;Volcan submarino;T;F;Izu Is-Japan (Japan)
1968;3;Estratovolcan;F;F;Costa Rica (Costa Rica)
1972;??;Volcan complejo;F;F;Honshu-Japan (Japan)
1981;2;Estratovolcan;F;F;Kuril Is (Russia)
1990;??;Estratovolcan;F;F;Java (Indonesia)
1997;3;Estratovolcan;F;F;W Indies (Montserrat)
2002;3;Estratovolcan;F;F;Java (Indonesia)
